Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Poblacion
Santa Cruz,Lago Argentino,21.0,27.0,25384.0
Neuquen,Los Lagos,6.0,27.0,15502.0
La Rioja,Independencia,0.0,27.0,2399.0
Neuquen,Añelo,36.0,26.0,18150.0
Rio Negro,Pichi Mahuida,8.0,26.0,16493.0
Buenos Aires,General Lavalle,4.0,26.0,4846.0
Chubut,Sarmiento,4.0,26.0,14477.0
Buenos Aires,Tres Lomas,1.0,26.0,9090.0
Salta,La Caldera,0.0,26.0,12246.0
Santiago Del Estero,Belgrano,17.0,25.0,10809.0
La Pampa,Atreucó,8.0,25.0,11053.0
Chaco,General Belgrano,3.0,25.0,12807.0
Buenos Aires,San Cayetano,2.0,25.0,8918.0
Buenos Aires,General Guido,1.0,25.0,3157.0
Buenos Aires,Hipólito Yrigoyen,0.0,25.0,10581.0
Rio Negro,El Cuy,6.0,24.0,6960.0
Rio Negro,9 de Julio,1.0,24.0,3682.0
Salta,Los Andes,15.0,23.0,7182.0
La Pampa,Puelén,5.0,23.0,11636.0
Chaco,Tapenagá,1.0,23.0,4051.0
La Pampa,Loventué,0.0,23.0,9243.0
Neuquen,Catán Lil,0.0,23.0,2641.0
Neuquen,Picunches,0.0,23.0,8471.0
Rio Negro,Conesa,0.0,23.0,7398.0
Buenos Aires,Pellegrini,2.0,22.0,7112.0
Buenos Aires,Lezama,5.0,21.0,6170.0
Buenos Aires,Salliqueló,3.0,21.0,9344.0
Salta,La Viña,3.0,21.0,8888.0
Jujuy,Valle Grande,2.0,21.0,2490.0
Salta,Guachipas,0.0,21.0,3491.0
La Pampa,Guatraché,2.0,20.0,9397.0
Neuquen,Loncopué,0.0,20.0,7696.0
La Rioja,Castro Barros,11.0,19.0,5810.0
Santa Cruz,Corpen Aike,6.0,19.0,15035.0
Rio Negro,Ñorquinco,1.0,19.0,1452.0
La Pampa,Toay,0.0,19.0,17927.0
La Rioja,Vinchina,0.0,19.0,2695.0
Rio Negro,Valcheta,0.0,19.0,4300.0
Salta,La Poma,0.0,19.0,1789.0
Santiago Del Estero,Mitre,0.0,19.0,1440.0
La Pampa,Quemú Quemú,6.0,18.0,8404.0
La Rioja,San Blas de Los Sauces,2.0,18.0,4306.0
Chubut,Languiñeo,0.0,17.0,2862.0
Salta,La Candelaria,0.0,17.0,7182.0
La Pampa,Hucal,9.0,16.0,7713.0
Buenos Aires,Monte Hermoso,0.0,16.0,8444.0
Santa Cruz,Lago Buenos Aires,25.0,15.0,12584.0
La Pampa,Catriló,23.0,15.0,8225.0
Chubut,Tehuelches,8.0,15.0,5947.0
Chubut,Gastre,0.0,15.0,1181.0
Neuquen,Collón Curá,4.0,14.0,4832.0
Jujuy,San Antonio,0.0,14.0,6729.0
Neuquen,Picún Leufú,0.0,14.0,5087.0
San Juan,9 de Julio,18.0,13.0,12498.0
Santa Cruz,Magallanes,31.0,12.0,12828.0
Corrientes,Berón de Astrada,6.0,12.0,2808.0
Catamarca,Antofagasta de la Sierra,5.0,12.0,1822.0
La Pampa,Trenel,4.0,12.0,5637.0
Buenos Aires,Tordillo,0.0,12.0,2528.0
Santa Cruz,Río Chico,3.0,11.0,6271.0
Chubut,Telsen,0.0,11.0,1608.0
Chubut,Paso de Indios,1.0,9.0,1882.0
La Pampa,Chical Co,0.0,8.0,1461.0
San Juan,Ullum,0.0,8.0,6454.0
San Juan,Zonda,2.0,7.0,6674.0
La Rioja,General Lamadrid,0.0,7.0,1885.0
La Pampa,Curacó,6.0,6.0,1103.0
La Pampa,Caleu Caleu,5.0,6.0,2611.0
La Pampa,Chalileo,0.0,6.0,2868.0
La Pampa,Limay Mahuida,0.0,5.0,413.0
Chubut,Florentino Ameghino,2.0,4.0,1782.0
Chubut,Mártires,0.0,4.0,744.0
La Pampa,Lihuel Calel,0.0,3.0,428.0
La Rioja,Sanagasta,0.0,3.0,2994.0
Tierra Del Fuego,Tolhuin,6.0,0.0,6027.0
